form_ppg_5,form_ppg_10,gd_5,gf_10,ga_10,opp_avg_rating_10,rest_days,matches_seen,team
0.4,0.8,-2.2,1.0,2.0,1588.3049,2,20,Trinidad and Tobago
1.2,1.4,0.0,1.4,1.0,1654.1487000000002,62,20,Tunisia
2.6,2.2,1.4,2.1,1.4,1750.2248,62,20,Turkey
2.4,1.6,1.0,1.6,1.4,1420.494,195,20,Turkmenistan
1.4,1.0,-1.0,0.9,1.8,1159.9124,289,20,Turks and Caicos Islands
1.2,0.7,-2.6,1.3,5.6,1411.4434,914,20,Tuvalu
0.6,0.5,-2.4,0.5,3.0,1522.8596666666665,1065,6,Two Sicilies
0.8,1.4,-1.4,1.4,1.5,1537.7861,153,20,Uganda
1.8,1.9,-0.2,1.6,1.5,1680.9617999999998,1,20,Ukraine
1.0,1.2,-0.4,1.2,1.4,1674.0966,168,20,United Arab Emirates
1.2,1.2,0.6,1.9,0.8,1504.402244028886,2914,12,United Koreans in Japan
1.8,1.6,0.2,1.8,1.7,1871.2494,1,20,United States
1.4,1.0,0.6,1.5,2.0,1228.4721440288859,65,20,United States Virgin Islands
1.2,1.6,-0.6,1.0,0.9,1772.1097000000002,62,20,Uruguay
1.8,1.7,0.8,1.5,0.7,1688.3240999999998,63,20,Uzbekistan
1.6,1.1,0.4,1.4,2.4,1516.5915,190,20,Vanuatu
0.4,0.375,-1.2,0.75,2.625,1471.5233050361076,1501,8,Vatican City
1.4,1.3,0.2,1.1,1.5,1834.4902000000002,63,20,Venezuela
2.4,2.7,0.8,2.4,1.0,1258.8045000000002,67,20,Vietnam
0.0,0.8,-2.2,1.0,2.0,1482.7012,18698,20,Vietnam Republic
1.6,1.4,1.0,1.9,1.5,1581.9284,62,20,Wales
0.6,0.3,-6.0,0.7,5.8,1513.6778000000002,11243,20,Wallis Islands and Futuna
0.5,0.5,-3.0,1.5,4.5,1467.4002201444298,1296,2,West Papua
1.0,1.4,0.6,2.0,1.3,1511.8091000000002,2549,16,Western Armenia
1.0,1.1,-0.2,1.4,1.7,1450.5341999999998,16624,20,Western Australia
1.4,1.0,0.2,1.1,1.9,1553.2781,319,20,Western Isles
1.2,0.7777777777777778,-2.2,1.7777777777777777,4.222222222222222,1518.1899999999998,4721,9,Western Sahara
2.2,1.8,3.4,2.8,1.0,1307.9117,187,20,Yemen
0.8,0.6,-1.4,1.0,2.4,1506.4107,13357,20,Yemen DPR
2.4,2.7,0.8,2.1,1.0,1564.0776,319,20,Ynys Môn
2.4,2.2857142857142856,2.0,3.857142857142857,1.5714285714285714,1507.9910628984085,2557,7,Yorkshire
0.5,0.5,-0.5,0.5,1.0,1493.5545000000002,1470,2,Yoruba Nation
1.2,1.4,-0.2,2.1,1.3,1633.2455000000002,12486,20,Yugoslavia
0.4,0.5,-1.8,0.5,2.3,1689.5686,62,20,Zambia
2.0,2.0,0.4,1.3,0.8,1526.9279,504,20,Zanzibar
1.4,1.1,0.2,1.1,1.3,1582.6354999999999,2,20,Zimbabwe
0.8,1.0,-1.0,0.8,1.4,1519.2178999999999,1054,20,Åland Islands
